,variable,value,sim_score,product_rec,item_id,item_id_rec
0,0,"(0.40862263132889426, 119)",0.40862263132889426,119,48102821,26348659
17,1,"(0.8665144476366466, 119)",0.8665144476366466,119,52333193,26348659
239,23,"(0.9858521634284096, 119)",0.9858521634284096,119,35373097,26348659
290,29,"(0.37684216697728984, 119)",0.37684216697728984,119,21017060,26348659
360,36,"(0.22523392841488812, 119)",0.22523392841488812,119,62445418,26348659
668,66,"(0.9481262036497466, 119)",0.9481262036497466,119,52889826,26348659
724,72,"(0.4436862535629632, 119)",0.4436862535629632,119,46563491,26348659
751,75,"(0.4200109605181389, 119)",0.4200109605181389,119,35607267,26348659
991,99,"(0.3433345503063232, 119)",0.3433345503063232,119,59130781,26348659
1073,107,"(0.4846477441861011, 119)",0.4846477441861011,119,75551911,26348659
1256,125,"(0.47620601300234294, 119)",0.47620601300234294,119,20478281,26348659
1317,131,"(0.5136015105496792, 119)",0.5136015105496792,119,14868418,26348659
1346,134,"(0.6216149903363467, 119)",0.6216149903363467,119,56885678,26348659
1425,142,"(0.3356651259391831, 119)",0.3356651259391831,119,80030065,26348659
1473,147,"(0.619122719241297, 119)",0.619122719241297,119,22413470,26348659
1690,169,"(0.2817663066995533, 119)",0.2817663066995533,119,59050694,26348659
1823,182,"(0.4079038877167888, 119)",0.4079038877167888,119,53501421,26348659
1834,183,"(0.3546967112274333, 119)",0.3546967112274333,119,73258681,26348659
1849,184,"(0.28682894519340607, 119)",0.28682894519340607,119,52107286,26348659
1990,199,"(0.4989483267950497, 119)",0.4989483267950497,119,46621334,26348659
2161,216,"(0.4904503884728424, 119)",0.4904503884728424,119,54406343,26348659
2283,228,"(0.5826082579895976, 119)",0.5826082579895976,119,50319688,26348659
2360,236,"(0.5079299105672622, 119)",0.5079299105672622,119,27977454,26348659
2424,242,"(0.28710084442055206, 119)",0.28710084442055206,119,79887552,26348659
2452,245,"(0.4625243349681191, 119)",0.4625243349681191,119,58291928,26348659
3702,370,"(0.25423368089152, 119)",0.25423368089152,119,58624734,26348659
3784,378,"(0.4718464555466591, 119)",0.4718464555466591,119,50817650,26348659
4481,448,"(0.29702736354849946, 119)",0.29702736354849946,119,34414903,26348659
4771,477,"(0.5156413734264729, 119)",0.5156413734264729,119,73314682,26348659
4845,484,"(0.48247151530054305, 119)",0.48247151530054305,119,26093257,26348659
5167,516,"(0.49337406422110436, 119)",0.49337406422110436,119,16860936,26348659
6359,635,"(0.9523343344932597, 119)",0.9523343344932597,119,72928043,26348659
6392,639,"(0.6050351942855146, 119)",0.6050351942855146,119,56365197,26348659
6546,654,"(0.3502230419865249, 119)",0.3502230419865249,119,51971799,26348659
6831,683,"(0.35939387492749025, 119)",0.35939387492749025,119,67546816,26348659
6895,689,"(0.5334282080995726, 119)",0.5334282080995726,119,67634480,26348659
7195,719,"(0.6829872973645023, 119)",0.6829872973645023,119,48273751,26348659
7360,736,"(0.24683146948795165, 119)",0.24683146948795165,119,74565955,26348659
7820,782,"(0.2913587272257124, 119)",0.2913587272257124,119,22336000,26348659
8492,849,"(0.2982376330460188, 119)",0.2982376330460188,119,80133022,26348659
8583,858,"(0.372419599099155, 119)",0.372419599099155,119,49548043,26348659
8881,888,"(0.5157819524897773, 119)",0.5157819524897773,119,74285829,26348659
9054,905,"(0.4900550495862326, 119)",0.4900550495862326,119,75510675,26348659
9301,930,"(0.3850595646369512, 119)",0.3850595646369512,119,68528166,26348659
9684,968,"(0.49217820030817394, 119)",0.49217820030817394,119,58298489,26348659
9922,992,"(0.1854791252889587, 119)",0.1854791252889587,119,67290439,26348659
9952,995,"(0.33720118455506864, 119)",0.33720118455506864,119,61224691,26348659
39941,3994,"(0.20149293357757436, 119)",0.20149293357757436,119,74978842,26348659
1,0,"(0.4115935649527562, 719)",0.4115935649527562,719,48102821,48273751
15,1,"(0.7067491236199791, 719)",0.7067491236199791,719,52333193,48273751
235,23,"(0.6852321815220346, 719)",0.6852321815220346,719,35373097,48273751
293,29,"(0.3886919295303692, 719)",0.3886919295303692,719,21017060,48273751
665,66,"(0.6855207502112595, 719)",0.6855207502112595,719,52889826,48273751
722,72,"(0.42872651527534145, 719)",0.42872651527534145,719,46563491,48273751
753,75,"(0.4301195773300512, 719)",0.4301195773300512,719,35607267,48273751
765,76,"(0.3431341333457483, 719)",0.3431341333457483,719,72519492,48273751
992,99,"(0.3454943104227029, 719)",0.3454943104227029,719,59130781,48273751
1077,107,"(0.5282805510995848, 719)",0.5282805510995848,719,75551911,48273751
1195,119,"(0.6829872973645023, 719)",0.6829872973645023,719,26348659,48273751
1255,125,"(0.4736604256783062, 719)",0.4736604256783062,719,20478281,48273751
1316,131,"(0.5120579490559353, 719)",0.5120579490559353,719,14868418,48273751
1340,134,"(0.517954880652966, 719)",0.517954880652966,719,56885678,48273751
1405,140,"(0.35336952293535207, 719)",0.35336952293535207,719,23476288,48273751
